code,date,time,floor,type,basicPrice,ceilingPrice,floorPrice,open,high,low,close,average,adOpen,adHigh,adLow,adClose,adAverage,nmVolume,nmValue,ptVolume,ptValue,change,adChange,pctChange
DIG,2021-12-07,15:12:03,HOSE,STOCK,64.4,68.9,59.9,65.7,68.5,63.0,68.0,66.02,65.7,68.5,63.0,68.0,66.02,4209800.0,277913160000.0,0.0,0.0,3.6,3.6,5.5901
DIG,2021-12-06,15:12:02,HOSE,STOCK,65.0,69.5,60.5,66.4,67.4,61.8,64.4,65.34,66.4,67.4,61.8,64.4,65.34,5764800.0,376687670000.0,0.0,0.0,-0.6,-0.6,-0.9231
DIG,2021-12-03,15:12:06,HOSE,STOCK,68.3,73.0,63.6,69.3,71.4,65.0,65.0,68.68,69.3,71.4,65.0,65.0,68.68,5574400.0,382874930000.0,29200.0,1857120000.0,-3.3,-3.3,-4.8316
DIG,2021-12-02,15:12:03,HOSE,STOCK,65.4,69.9,60.9,67.0,69.5,65.7,68.3,67.2,67.0,69.5,65.7,68.3,67.2,4803100.0,322772490000.0,0.0,0.0,2.9,2.9,4.4343
DIG,2021-12-01,15:12:03,HOSE,STOCK,68.5,73.2,63.8,67.9,67.9,65.2,65.4,66.3,67.9,67.9,65.2,65.4,66.3,6227400.0,412850810000.0,0.0,0.0,-3.1,-3.1,-4.5255
DIG,2021-11-30,15:11:03,HOSE,STOCK,70.1,75.0,65.2,70.3,72.0,66.7,68.5,68.43,70.3,72.0,66.7,68.5,68.43,9366600.0,640935410000.0,114000.0,7432800000.0,-1.6,-1.6,-2.2825
DIG,2021-11-29,15:11:03,HOSE,STOCK,69.9,74.7,65.1,69.0,71.8,68.1,70.1,70.0,69.0,71.8,68.1,70.1,70.0,4815600.0,337102720000.0,0.0,0.0,0.2,0.2,0.2861
DIG,2021-11-26,15:11:03,HOSE,STOCK,67.5,72.2,62.8,72.2,72.2,68.0,69.9,70.6,72.2,72.2,68.0,69.9,70.6,8802900.0,621501620000.0,0.0,0.0,2.4,2.4,3.5556
DIG,2021-11-25,15:11:02,HOSE,STOCK,63.1,67.5,58.7,64.1,67.5,64.1,67.5,66.46,64.1,67.5,64.1,67.5,66.46,2718000.0,180640890000.0,400000.0,23480000000.0,4.4,4.4,6.9731
DIG,2021-11-24,15:11:03,HOSE,STOCK,61.0,65.2,56.8,63.1,64.5,61.0,63.1,63.14,63.1,64.5,61.0,63.1,63.14,4730800.0,298699610000.0,0.0,0.0,2.1,2.1,3.4426
DIG,2021-11-23,15:11:04,HOSE,STOCK,65.1,69.6,60.6,60.6,64.8,60.6,61.0,61.44,60.6,64.8,60.6,61.0,61.44,13201500.0,811105690000.0,440000.0,27000000000.0,-4.1,-4.1,-6.298
DIG,2021-11-22,15:11:04,HOSE,STOCK,70.0,74.9,65.1,70.0,71.4,65.1,65.1,66.31,70.0,71.4,65.1,65.1,66.31,10200200.0,676374990000.0,0.0,0.0,-4.9,-4.9,-7.0
DIG,2021-11-19,15:11:05,HOSE,STOCK,71.9,76.9,66.9,76.0,76.0,67.2,70.0,72.54,76.0,76.0,67.2,70.0,72.54,8220000.0,596254280000.0,400000.0,26760000000.0,-1.9,-1.9,-2.6426
DIG,2021-11-18,15:11:03,HOSE,STOCK,67.2,71.9,62.5,69.0,71.9,68.1,71.9,70.85,69.0,71.9,68.1,71.9,70.85,5074000.0,359499560000.0,634200.0,39660250000.0,4.7,4.7,6.994
DIG,2021-11-17,15:11:04,HOSE,STOCK,67.0,71.6,62.4,66.6,68.0,66.0,67.2,67.06,66.6,68.0,66.0,67.2,67.06,5045600.0,338375190000.0,0.0,0.0,0.2,0.2,0.2985
DIG,2021-11-16,15:11:02,HOSE,STOCK,68.0,72.7,63.3,66.2,69.8,65.3,67.0,67.33,66.2,69.8,65.3,67.0,67.33,9677300.0,651571250000.0,43000.0,3096000000.0,-1.0,-1.0,-1.4706
DIG,2021-11-15,15:11:02,HOSE,STOCK,70.9,75.8,66.0,71.8,75.5,66.0,68.0,71.28,71.8,75.5,66.0,68.0,71.28,12342900.0,879780050000.0,0.0,0.0,-2.9,-2.9,-4.0903
DIG,2021-11-12,15:11:03,HOSE,STOCK,66.3,70.9,61.7,67.1,70.9,66.5,70.9,68.09,67.1,70.9,66.5,70.9,68.09,6613800.0,450314870000.0,100000.0,6170000000.0,4.6,4.6,6.9382
DIG,2021-11-11,15:11:04,HOSE,STOCK,62.0,66.3,57.7,64.8,66.3,62.5,66.3,65.54,64.8,66.3,62.5,66.3,65.54,8510700.0,557793600000.0,0.0,0.0,4.3,4.3,6.9355
DIG,2021-11-10,15:11:02,HOSE,STOCK,58.0,62.0,54.0,60.0,62.0,59.0,62.0,60.51,60.0,62.0,59.0,62.0,60.51,6260900.0,378859490000.0,60000.0,3252000000.0,4.0,4.0,6.8966
DIG,2021-11-09,15:11:05,HOSE,STOCK,55.6,59.4,51.8,55.1,58.5,54.7,58.0,56.78,55.1,58.5,54.7,58.0,56.78,8542000.0,484984810000.0,0.0,0.0,2.4,2.4,4.3165
DIG,2021-11-08,15:11:03,HOSE,STOCK,55.6,59.4,51.8,55.6,57.0,54.6,55.6,55.57,55.6,57.0,54.6,55.6,55.57,7357400.0,408819960000.0,25500.0,1392300000.0,0.0,0.0,0.0
DIG,2021-11-05,15:11:11,HOSE,STOCK,56.1,60.0,52.2,58.0,58.8,55.5,55.6,56.9,58.0,58.8,55.5,55.6,56.9,6322900.0,359800600000.0,0.0,0.0,-0.5,-0.5,-0.8913
DIG,2021-11-04,15:11:03,HOSE,STOCK,54.2,57.9,50.5,54.0,57.5,51.3,56.1,54.11,54.0,57.5,51.3,56.1,54.11,15810500.0,855523490000.0,80000.0,4040000000.0,1.9,1.9,3.5055
DIG,2021-11-03,15:11:01,HOSE,STOCK,58.2,62.2,54.2,62.2,62.2,54.2,54.2,57.41,62.2,62.2,54.2,54.2,57.41,22938300.0,1316928030000.0,307300.0,16676390000.0,-4.0,-4.0,-6.8729
DIG,2021-11-02,15:11:03,HOSE,STOCK,54.4,58.2,50.6,57.0,58.2,57.0,58.2,57.94,57.0,58.2,57.0,58.2,57.94,4217600.0,244381490000.0,0.0,0.0,3.8,3.8,6.9853
DIG,2021-11-01,15:11:03,HOSE,STOCK,50.9,54.4,47.35,50.9,54.4,49.8,54.4,52.63,50.9,54.4,49.8,54.4,52.63,11113000.0,584924740000.0,0.0,0.0,3.5,3.5,6.8762
DIG,2021-10-29,15:10:03,HOSE,STOCK,49.0,52.4,45.6,49.9,51.8,49.5,50.9,50.48,49.9,51.8,49.5,50.9,50.48,10850400.0,547769705000.0,45000.0,2056500000.0,1.9,1.9,3.8776
DIG,2021-10-28,15:10:03,HOSE,STOCK,46.2,49.4,43.0,47.0,49.0,46.8,49.0,48.01,47.0,49.0,46.8,49.0,48.01,6773800.0,325219695000.0,120000.0,5220000000.0,2.8,2.8,6.0606
DIG,2021-10-27,15:10:03,HOSE,STOCK,43.3,46.3,40.3,44.35,46.3,44.0,46.2,45.62,44.35,46.3,44.0,46.2,45.62,8079900.0,368565015000.0,0.0,0.0,2.9,2.9,6.6975
DIG,2021-10-26,15:10:02,HOSE,STOCK,41.2,44.05,38.35,41.2,43.45,40.4,43.3,41.4,41.2,43.45,40.4,43.3,41.4,12336200.0,510768315000.0,0.0,0.0,2.1,2.1,5.0971
DIG,2021-10-25,15:10:02,HOSE,STOCK,42.6,45.55,39.65,43.0,43.85,41.2,41.2,42.78,43.0,43.85,41.2,41.2,42.78,9600700.0,410696625000.0,0.0,0.0,-1.4,-1.4,-3.2864
DIG,2021-10-22,15:10:02,HOSE,STOCK,39.9,42.65,37.15,40.5,42.65,40.05,42.6,41.42,40.5,42.65,40.05,42.6,41.42,10895300.0,451289200000.0,45000.0,1674000000.0,2.7,2.7,6.7669
