time,open,high,low,close,volume,ticker
10/8/2024,61.54,61.54,60.87,61.2,1124515,VCB
10/9/2024,61.07,61.41,60.8,60.87,2176865,VCB
10/10/2024,61.74,62.21,61,61.47,1326569,VCB
10/11/2024,61.47,61.47,61,61.2,1084336,VCB
10/14/2024,61.67,61.67,61.07,61.14,931995,VCB
10/15/2024,61.07,61.61,61.07,61.14,1431969,VCB
10/16/2024,61.14,61.41,61.07,61.2,1293521,VCB
10/17/2024,61.54,61.74,61.34,61.67,1286287,VCB
10/18/2024,62.01,62.27,61.54,61.81,1164056,VCB
10/21/2024,61.87,62.41,61.54,61.54,1425147,VCB
10/22/2024,61.54,61.67,61.14,61.14,1260601,VCB
10/23/2024,61,61.41,61,61.2,750353,VCB
10/24/2024,61.67,61.74,61.14,61.34,756579,VCB
10/25/2024,61.61,61.74,61.34,61.41,997728,VCB
10/28/2024,61.2,61.74,61.2,61.54,1106555,VCB
10/29/2024,61.61,61.94,61.54,61.54,1298643,VCB
10/30/2024,61.54,61.81,61.27,61.34,627682,VCB
10/31/2024,61.2,63.55,61.2,62.61,2892451,VCB
11/1/2024,62.88,63.48,62.54,62.54,1732251,VCB
11/4/2024,62.88,63.75,61.81,61.87,1856395,VCB
11/5/2024,61.94,62.21,61.54,61.94,1084183,VCB
11/6/2024,62.07,62.48,62.07,62.14,1417991,VCB
11/7/2024,62.34,62.81,62.34,62.34,1420301,VCB
11/8/2024,62.54,62.81,61.67,61.67,1381249,VCB
11/11/2024,62.07,62.07,61.47,61.54,1874368,VCB
11/12/2024,61.54,62.34,61.47,61.47,1337197,VCB
11/13/2024,61.47,62.14,61.47,61.87,1332711,VCB
11/14/2024,61.54,61.87,61.47,61.54,1720202,VCB
11/15/2024,61.54,61.87,61.27,61.34,1509691,VCB
11/18/2024,61.34,61.74,60.8,60.87,1876350,VCB
11/19/2024,61.2,61.27,60.2,60.2,1577896,VCB
11/20/2024,60.2,61,60.13,60.4,1641687,VCB
11/21/2024,60.47,61.07,60.33,60.54,1461608,VCB
11/22/2024,60.87,61.07,60.6,60.6,1730814,VCB
11/25/2024,60.8,61.67,60.8,61.07,1814963,VCB
11/26/2024,61.14,62.14,61.14,61.81,1760827,VCB
11/27/2024,61.74,62.34,61.74,62.01,1048309,VCB
11/28/2024,62.27,62.54,61.87,61.94,1290948,VCB
11/29/2024,61.94,62.41,61.87,62.41,1011316,VCB
12/2/2024,63.48,63.61,62.81,63.01,1575332,VCB
12/3/2024,63.14,63.14,61.94,62.21,2447450,VCB
12/4/2024,62.07,62.81,61.87,62.54,1205482,VCB
12/5/2024,62.21,63.28,62.21,62.88,2334456,VCB
12/6/2024,62.88,63.75,62.81,63.01,1702183,VCB
12/9/2024,63.01,63.75,62.81,63.75,1958838,VCB
12/10/2024,63.75,63.75,63.21,63.21,914482,VCB
12/11/2024,63.21,63.41,62.34,62.41,1611488,VCB
12/12/2024,62.54,63.14,62.54,62.54,672349,VCB
12/13/2024,62.34,62.61,62.14,62.27,1228466,VCB
12/16/2024,62.21,62.34,62.14,62.27,1122982,VCB
12/17/2024,62.21,62.27,62.07,62.21,1049241,VCB
12/18/2024,62.21,62.41,62.21,62.27,531269,VCB
12/19/2024,62.07,62.07,61.67,61.81,1870599,VCB
12/20/2024,61.81,62.14,61.74,61.87,1246769,VCB
12/23/2024,61.94,62.07,61.81,61.81,707967,VCB
12/24/2024,62.01,62.07,61.54,61.61,1025356,VCB
12/25/2024,61.67,62.74,61.67,61.81,1829185,VCB
12/26/2024,61.87,62.07,61.54,61.61,2203884,VCB
12/27/2024,61.87,62.21,61.67,61.67,1640901,VCB
12/30/2024,61.67,61.87,61.54,61.54,1707785,VCB
12/31/2024,61.67,61.81,61,61,2375289,VCB
1/2/2025,61.27,61.87,61.2,61.47,1631368,VCB
1/3/2025,61.47,61.81,61.47,61.54,1403040,VCB
1/6/2025,61.54,62.48,61.47,62.14,1938268,VCB
1/7/2025,62.34,62.34,61.74,61.74,1253566,VCB
1/8/2025,61.74,61.81,61.2,61.81,1054219,VCB
1/9/2025,61.54,61.67,61.34,61.47,739048,VCB
1/10/2025,61.47,61.81,61.14,61.14,1113334,VCB
1/13/2025,61.07,61.47,60.94,61.47,938736,VCB
1/14/2025,61.47,61.47,61,61.34,678628,VCB
1/15/2025,61.47,61.47,61.14,61.14,446062,VCB
1/16/2025,61.47,62.34,61.41,62.01,2461599,VCB
1/17/2025,62.01,62.21,61.67,61.87,1124326,VCB
